id,risque,categorie,probabilite,impact,mitigation
R-001,Sous-estimation volumétrie 10 milliards,Technique,Élevée,Élevé,"Partitionnement dès P02, benchmarks synthétiques, revue DBA, stratégie hot/warm/cold."
R-002,Discovery destructif ou trop agressif,Sécurité/Exploitation,Moyenne,Élevé,"Rate limiting, fenêtres, périmètres, dry-run, scanners non intrusifs par défaut."
R-003,Référentiel non fiable par conflits de sources,Fonctionnel,Élevée,Élevé,"Source autoritative par attribut, score confiance, workflows de certification, Data Quality Center."
R-004,Dérive vers ITSM intégré,Produit,Moyenne,Moyen,"ADR No ITSM, field operations sans ticketing, connecteurs externes uniquement."
R-005,Complexité UI graphes/DCIM 2D/3D,UX/Technique,Moyenne,Moyen,"Livrer progressivement : tableaux, 2D, rack elevation, graphe, puis 3D/jumeau numérique."
R-006,Bascule PostgreSQL non maîtrisée,Exploitation,Moyenne,Élevé,"Tests failover mensuels, runbooks, monitoring lag, PgBouncer/HAProxy validés."
R-007,Coût de maintenance connecteurs trop élevé,Produit,Moyenne,Moyen,"Architecture plugins, contrats API, tests contractuels, priorisation connecteurs par valeur."
R-008,IA/RAG exposant des données interdites,Sécurité,Moyenne,Élevé,"Filtrage permission-aware avant index/réponse, citations, logs, tests ABAC."
R-009,Imports massifs bloquant l’application,Performance,Moyenne,Élevé,"Batchs bornés, queues, backpressure, read replicas, tests million lignes."
R-010,Scope trop large pour première release,Gouvernance,Élevée,Élevé,"Découpage releases, gates, MVP strict, dérogations formelles, priorisation N1."
