id,gate,phase_scope,criteria,decision_rule
GATE-00,Go programme v4.8.1,P00,Matrice CDC→roadmap complète; backlog priorisé; risques connus; arbitrages actés.,Programme autorisé uniquement si les décisions v4.8.1 sont tracées.
GATE-01,Go Foundation Alpha,P01-P02,CI verte; édition model testé; API baseline; services cibles documentés.,Autorise démarrage installateurs et runtime.
GATE-02,Go Installer Alpha,P03-P06,install.ini validé; dépendances installées; PGDATA /data/openinfra; openinfra.service; failover DB démontré.,Autorise MVP Lite/Pro.
GATE-03,Go Lite MVP,P07-P11,Limits Lite respectées; all-in-one opérationnel; UI/API/CLI RSOT/DCIM/IPAM.,Autorise pilote Lite.
GATE-04,Go Pro MVP,P07-P13,Backend/web séparés; LDAP/IPA; RBAC groupes; connecteurs ITSM externes; quotas Pro.,Autorise pilote Pro.
GATE-05,Go Enterprise Foundation,P14-P17,"Agents, multisite, synchronisation quasi temps réel, cluster frontend/backend, DR testé.",Autorise pilote Entreprise.
GATE-06,Go RC,P16-P18,Modules avancés; sécurité; performance; docs; migrations et rollback validés.,Autorise release candidate.
GATE-07,Go GA,P18,Benchmarks; chaos; PITR; failover; sécurité; packaging; support; runbooks validés.,Autorise GA Enterprise Scale.
GATE-08,Go runtime haute performance,P19,ASGI par défaut Pro/Entreprise ; budgets workers/pools ; streaming ; rollback legacy ; tests sécurité et compatibilité ; couverture ≥98 %.,Autorise 0.30.x uniquement si les contrats et gates haute performance sont verts.
GATE-09,Go scale-out Enterprise,P20,PgBouncer ; read replicas ; curseurs ; workers/outbox ; frontend chunks ; p95/p99 ; endurance ; chaos ; runbooks.,Autorise la promotion Enterprise Scale-out après validation sur infrastructure représentative.
GATE-10,Go Kubernetes & Cloud-native,P21,Inventaire multi-cluster; intégrité graphe; mapping physique; absence secrets; expositions; GitOps drift; capacité; sécurité; performance; runbooks.,Autorise REL-11 uniquement si les preuves cloud-native sont certifiées et sans corruption ni fuite de secret.
GATE-11,Go Advanced Identity & Oracle,P22,SAML signé; LDAP TLS et borné; Team Sync idempotent et same-origin; PostgreSQL par défaut; Oracle Enterprise qualifié; secrets protégés; systemd sans Docker; couverture ≥98 %; packaging et runbooks.,"Autorise REL-12 uniquement si les preuves locales, Oracle Enterprise réelle, IdP SAML réel et hôte systemd sont complètes."
GATE-12,Go Offline Runtime Licensing,P23,Cryptographie Ed25519; parité JSON/PostgreSQL/Oracle; enforcement fail-closed; CLI/API HTTP 402; installateurs offline; notifications accessibles; exclusion de clé privée d’autorité; couverture >=98 %; artefacts et runbook validés.,"Autorise REL-13 uniquement si les sept contrôles sont verts et que wheel, sdist, migrations, OpenAPI et preuves de sécurité sont complets."
GATE-13,Go RSOT Canonical Finalization,P24,CLI rsot unique; routes rsot uniques; RBAC rsot:*; core_rsot unique; modules obsolètes absents; documentation et artefacts sans alias actif; couverture >=98 %.,Autorise REL-14 uniquement si les six contrôles RSOT sont verts et les tests historiques ne régressent pas.
GATE-14,Go Contractual Completeness,P25,"CDC 4.12 et roadmap 2.5 alignés; 667 tests classifiés; 35 preuves automatisées; 584 partielles; 48 externes; 48 sélecteurs résolus; 83 fichiers de preuve; aucune exigence N1 non classifiée; scanner contextuel, couverture >=98 % et artefacts validés.",Autorise REL-15 localement uniquement si les six contrôles sont verts ; les preuves externes non exécutées maintiennent la promotion production en NO-GO.
